designation,type,edi_name,manual_label,weight_lb_ft,area_sq_in,depth_in,flange_w_in,web_t_in,flange_t_in
L5X5X7/16,L,L5X5X7/16,L5X5X7/16,14.3,4.22,5.0,,,
L5X5X3/8,L,L5X5X3/8,L5X5X3/8,12.3,3.65,5.0,,,
L5X5X5/16,L,L5X5X5/16,L5X5X5/16,10.3,3.07,5.0,,,
L5X3-1/2X3/4,L,L5X3-1/2X3/4,L5X3-1/2X3/4,19.8,5.85,3.5,,,
L5X3-1/2X5/8,L,L5X3-1/2X5/8,L5X3-1/2X5/8,16.8,4.93,3.5,,,
L5X3-1/2X1/2,L,L5X3-1/2X1/2,L5X3-1/2X1/2,13.6,4.0,3.5,,,
L5X3-1/2X3/8,L,L5X3-1/2X3/8,L5X3-1/2X3/8,10.4,3.05,3.5,,,
L5X3-1/2X5/16,L,L5X3-1/2X5/16,L5X3-1/2X5/16,8.7,2.56,3.5,,,
L5X3-1/2X1/4,L,L5X3-1/2X1/4,L5X3-1/2X1/4,7.0,2.07,3.5,,,
L5X3X1/2,L,L5X3X1/2,L5X3X1/2,12.8,3.75,3.0,,,
L5X3X7/16,L,L5X3X7/16,L5X3X7/16,11.3,3.31,3.0,,,
L5X3X3/8,L,L5X3X3/8,L5X3X3/8,9.8,2.86,3.0,,,
L5X3X5/16,L,L5X3X5/16,L5X3X5/16,8.2,2.41,3.0,,,
L5X3X1/4,L,L5X3X1/4,L5X3X1/4,6.6,1.94,3.0,,,
L4X4X3/4,L,L4X4X3/4,L4X4X3/4,18.5,5.44,4.0,,,
L4X4X5/8,L,L4X4X5/8,L4X4X5/8,15.7,4.61,4.0,,,
L4X4X1/2,L,L4X4X1/2,L4X4X1/2,12.8,3.75,4.0,,,
L4X4X7/16,L,L4X4X7/16,L4X4X7/16,11.3,3.3,4.0,,,
L4X4X3/8,L,L4X4X3/8,L4X4X3/8,9.8,2.86,4.0,,,
L4X4X5/16,L,L4X4X5/16,L4X4X5/16,8.2,2.4,4.0,,,
L4X4X1/4,L,L4X4X1/4,L4X4X1/4,6.6,1.93,4.0,,,
L4X3-1/2X1/2,L,L4X3-1/2X1/2,L4X3-1/2X1/2,11.9,3.5,3.5,,,
L4X3-1/2X3/8,L,L4X3-1/2X3/8,L4X3-1/2X3/8,9.1,2.68,3.5,,,
L4X3-1/2X5/16,L,L4X3-1/2X5/16,L4X3-1/2X5/16,7.7,2.25,3.5,,,
L4X3-1/2X1/4,L,L4X3-1/2X1/4,L4X3-1/2X1/4,6.2,1.82,3.5,,,
L4X3X5/8,L,L4X3X5/8,L4X3X5/8,13.6,3.99,3.0,,,
L4X3X1/2,L,L4X3X1/2,L4X3X1/2,11.1,3.25,3.0,,,
L4X3X3/8,L,L4X3X3/8,L4X3X3/8,8.5,2.49,3.0,,,
L4X3X5/16,L,L4X3X5/16,L4X3X5/16,7.2,2.09,3.0,,,
L4X3X1/4,L,L4X3X1/4,L4X3X1/4,5.8,1.69,3.0,,,
L3-1/2X3-1/2X1/2,L,L3-1/2X3-1/2X1/2,L3-1/2X3-1/2X1/2,11.1,3.25,3.5,,,
L3-1/2X3-1/2X7/16,L,L3-1/2X3-1/2X7/16,L3-1/2X3-1/2X7/16,9.8,2.89,3.5,,,
L3-1/2X3-1/2X3/8,L,L3-1/2X3-1/2X3/8,L3-1/2X3-1/2X3/8,8.5,2.5,3.5,,,
L3-1/2X3-1/2X5/16,L,L3-1/2X3-1/2X5/16,L3-1/2X3-1/2X5/16,7.2,2.1,3.5,,,
L3-1/2X3-1/2X1/4,L,L3-1/2X3-1/2X1/4,L3-1/2X3-1/2X1/4,5.8,1.7,3.5,,,
L3-1/2X3X1/2,L,L3-1/2X3X1/2,L3-1/2X3X1/2,10.2,3.02,3.0,,,
L3-1/2X3X7/16,L,L3-1/2X3X7/16,L3-1/2X3X7/16,9.1,2.67,3.0,,,
L3-1/2X3X3/8,L,L3-1/2X3X3/8,L3-1/2X3X3/8,7.9,2.32,3.0,,,
L3-1/2X3X5/16,L,L3-1/2X3X5/16,L3-1/2X3X5/16,6.6,1.95,3.0,,,
L3-1/2X3X1/4,L,L3-1/2X3X1/4,L3-1/2X3X1/4,5.4,1.58,3.0,,,
L3-1/2X2-1/2X1/2,L,L3-1/2X2-1/2X1/2,L3-1/2X2-1/2X1/2,9.4,2.77,2.5,,,
L3-1/2X2-1/2X3/8,L,L3-1/2X2-1/2X3/8,L3-1/2X2-1/2X3/8,7.2,2.12,2.5,,,
L3-1/2X2-1/2X5/16,L,L3-1/2X2-1/2X5/16,L3-1/2X2-1/2X5/16,6.1,1.79,2.5,,,
L3-1/2X2-1/2X1/4,L,L3-1/2X2-1/2X1/4,L3-1/2X2-1/2X1/4,4.9,1.45,2.5,,,
L3X3X1/2,L,L3X3X1/2,L3X3X1/2,9.4,2.76,3.0,,,
L3X3X7/16,L,L3X3X7/16,L3X3X7/16,8.3,2.43,3.0,,,
L3X3X3/8,L,L3X3X3/8,L3X3X3/8,7.2,2.11,3.0,,,
L3X3X5/16,L,L3X3X5/16,L3X3X5/16,6.1,1.78,3.0,,,
L3X3X1/4,L,L3X3X1/4,L3X3X1/4,4.9,1.44,3.0,,,
L3X3X3/16,L,L3X3X3/16,L3X3X3/16,3.71,1.09,3.0,,,
L3X2-1/2X1/2,L,L3X2-1/2X1/2,L3X2-1/2X1/2,8.5,2.5,2.5,,,
L3X2-1/2X7/16,L,L3X2-1/2X7/16,L3X2-1/2X7/16,7.6,2.22,2.5,,,
L3X2-1/2X3/8,L,L3X2-1/2X3/8,L3X2-1/2X3/8,6.6,1.93,2.5,,,
L3X2-1/2X5/16,L,L3X2-1/2X5/16,L3X2-1/2X5/16,5.6,1.63,2.5,,,
L3X2-1/2X1/4,L,L3X2-1/2X1/4,L3X2-1/2X1/4,4.5,1.32,2.5,,,
L3X2-1/2X3/16,L,L3X2-1/2X3/16,L3X2-1/2X3/16,3.39,1.0,2.5,,,
L3X2X1/2,L,L3X2X1/2,L3X2X1/2,7.7,2.26,2.0,,,
L3X2X3/8,L,L3X2X3/8,L3X2X3/8,5.9,1.75,2.0,,,
L3X2X5/16,L,L3X2X5/16,L3X2X5/16,5.0,1.48,2.0,,,
L3X2X1/4,L,L3X2X1/4,L3X2X1/4,4.1,1.2,2.0,,,
L3X2X3/16,L,L3X2X3/16,L3X2X3/16,3.07,0.92,2.0,,,
L2-1/2X2-1/2X1/2,L,L2-1/2X2-1/2X1/2,L2-1/2X2-1/2X1/2,7.7,2.26,2.5,,,
L2-1/2X2-1/2X3/8,L,L2-1/2X2-1/2X3/8,L2-1/2X2-1/2X3/8,5.9,1.73,2.5,,,
L2-1/2X2-1/2X5/16,L,L2-1/2X2-1/2X5/16,L2-1/2X2-1/2X5/16,5.0,1.46,2.5,,,
L2-1/2X2-1/2X1/4,L,L2-1/2X2-1/2X1/4,L2-1/2X2-1/2X1/4,4.1,1.19,2.5,,,
L2-1/2X2-1/2X3/16,L,L2-1/2X2-1/2X3/16,L2-1/2X2-1/2X3/16,3.07,0.9,2.5,,,
L2-1/2X2X3/8,L,L2-1/2X2X3/8,L2-1/2X2X3/8,5.3,1.55,2.0,,,
L2-1/2X2X5/16,L,L2-1/2X2X5/16,L2-1/2X2X5/16,4.5,1.32,2.0,,,
L2-1/2X2X1/4,L,L2-1/2X2X1/4,L2-1/2X2X1/4,3.62,1.07,2.0,,,
L2-1/2X2X3/16,L,L2-1/2X2X3/16,L2-1/2X2X3/16,2.75,0.82,2.0,,,
L2-1/2X1-1/2X1/4,L,L2-1/2X1-1/2X1/4,L2-1/2X1-1/2X1/4,3.19,0.95,1.5,,,
L2-1/2X1-1/2X3/16,L,L2-1/2X1-1/2X3/16,L2-1/2X1-1/2X3/16,2.44,0.72,1.5,,,
L2X2X3/8,L,L2X2X3/8,L2X2X3/8,4.7,1.37,2.0,,,
L2X2X5/16,L,L2X2X5/16,L2X2X5/16,3.92,1.16,2.0,,,
L2X2X1/4,L,L2X2X1/4,L2X2X1/4,3.19,0.94,2.0,,,
L2X2X3/16,L,L2X2X3/16,L2X2X3/16,2.44,0.72,2.0,,,
L2X2X1/8,L,L2X2X1/8,L2X2X1/8,1.65,0.49,2.0,,,
WT22X204,WT,WT22X204,WT22X204,204.0,59.9,22.4,16.1,1.22,2.17
WT22X184,WT,WT22X184,WT22X184,184.0,54.0,22.2,16.0,1.1,1.97
WT22X167.5,WT,WT22X167.5,WT22X167.5,167.5,49.2,22.0,15.9,1.03,1.77
WT22X145,WT,WT22X145,WT22X145,145.0,42.6,21.8,15.8,0.865,1.58
WT22X131,WT,WT22X131,WT22X131,131.0,38.5,21.7,15.8,0.785,1.42
